,Ticker,Month,Median
0,1951.HK,2016-10-01,0
1,1951.HK,2016-11-01,0
2,1951.HK,2016-12-01,0
3,1951.HK,2017-01-01,0
4,1951.HK,2017-02-01,0
5,1951.HK,2017-03-01,0
6,1951.HK,2017-04-01,0
7,1951.HK,2017-05-01,0
8,1951.HK,2017-06-01,0
9,1951.HK,2017-07-01,0
10,1951.HK,2017-08-01,0
11,1951.HK,2017-09-01,0
12,1951.HK,2017-10-01,0
13,1951.HK,2017-11-01,0
14,1951.HK,2017-12-01,0
15,1951.HK,2018-01-01,0
16,1951.HK,2018-02-01,0
17,1951.HK,2018-03-01,0
18,1951.HK,2018-04-01,0
19,1951.HK,2018-05-01,0
20,1951.HK,2018-06-01,0
21,1951.HK,2018-07-01,0
22,1951.HK,2018-08-01,0
23,1951.HK,2018-09-01,0
24,1951.HK,2018-10-01,0
25,1951.HK,2018-11-01,0
26,1951.HK,2018-12-01,0
27,1951.HK,2019-01-01,0
28,1951.HK,2019-02-01,0
29,1951.HK,2019-03-01,0
30,1951.HK,2019-04-01,0
31,1951.HK,2019-05-01,0
32,1951.HK,2019-06-01,9.475
33,1951.HK,2019-07-01,9.015
34,1951.HK,2019-08-01,9.215
35,1951.HK,2019-09-01,11.44
36,1951.HK,2019-10-01,13.48
37,1951.HK,2019-11-01,13.86
38,1951.HK,2019-12-01,11.66
39,1951.HK,2020-01-01,11.24
40,1951.HK,2020-02-01,10.77
41,1951.HK,2020-03-01,8.515
42,1951.HK,2020-04-01,9.44
43,1951.HK,2020-05-01,10.06
44,1951.HK,2020-06-01,10.26
45,1951.HK,2020-07-01,10.98
46,1951.HK,2020-08-01,10.46
47,1951.HK,2020-09-01,10.1
48,1951.HK,2020-10-01,9.83
49,1951.HK,2020-11-01,11.72
50,1951.HK,2020-12-01,14.57
51,1951.HK,2021-01-01,15.35
52,1951.HK,2021-02-01,19.61
53,1951.HK,2021-03-01,15.56
54,1951.HK,2021-04-01,18.78
55,1951.HK,2021-05-01,19.57
56,1951.HK,2021-06-01,19.68
57,1951.HK,2021-07-01,16.28
58,1951.HK,2021-08-01,12.86
59,1951.HK,2021-09-01,12.8
60,3988.HK,2016-10-01,3.5
